LAU,commune,pop_total_2021,pop_0_14,pop_15_64,pop_65p,share_65p,old_dep_ratio,youth_dep_ratio,share_foreign_citizenship,share_foreign_born,share_never_married,share_divorced,share_widowed,share_not_in_family_nucleus,share_private_household,share_institutional,LAU_trim
LU0000610,Vallée de l'Ernz,5394,966,3776,652,12.087504634779386,17.266949152542374,25.58262711864407,37.81979977753059,36.63329625509826,,,,18.27956989247312,99.92584352984798,0.07415647015202076,00610
LU0001104,Grevenmacher,10100,1570,6872,1658,16.415841584158418,24.126891734575086,22.846332945285216,40.43564356435644,43.603960396039604,,,,20.07920792079208,97.12871287128712,2.8712871287128716,01104
LU0001105,Junglinster,16810,3150,11020,2640,15.70493753718025,23.95644283121597,28.584392014519054,36.7995240928019,38.96490184414039,,,,15.466983938132065,97.8108268887567,2.1891731112433073,01105
LU0001005,Echternach,11380,1542,7516,2322,20.40421792618629,30.894092602448108,20.516232038318254,47.10017574692443,48.383128295254835,,,,21.423550087873462,96.34446397188049,3.6555360281195077,01005
LU0000409,Mersch,20334,3388,13720,3226,15.865053604799842,23.513119533527696,24.693877551020407,39.5691944526409,41.13307760401298,,,,19.838693813317594,94.30510475066392,5.694895249336087,00409
_T,Total,1287882,205148,892982,189752,14.733647958430973,21.249252504529768,22.973363404861463,47.16441413110829,49.26134537170331,,,,21.63101899087028,98.24036674167354,1.7363391987775276,000_T
LU0001107,Mertert,9520,1436,6468,1616,16.974789915966387,24.984539270253556,22.201607915893632,37.794117647058826,43.80252100840336,,,,22.899159663865547,97.83613445378151,2.1638655462184873,01107
LU0001207,Stadtbredimus,3942,596,2810,536,13.597158802638255,19.07473309608541,21.209964412811388,31.557584982242513,34.24657534246575,,,,16.996448503297817,100.0,0.0,01207
LU0000305,Niederanven,12884,2162,7822,2900,22.508537721204593,37.074916901048326,27.639989772436717,42.00558832660665,48.602918348339024,,,,14.840111766532132,97.46972989754734,2.5302701024526546,00305
LU0000903,Vianden,4336,698,2890,748,17.25092250922509,25.882352941176475,24.152249134948097,50.04612546125461,49.03136531365313,,,,22.047970479704798,95.11070110701108,4.889298892988929,00903
LU0001103,Flaxweiler,4320,720,3066,534,12.36111111111111,17.416829745596868,23.483365949119374,29.074074074074076,31.342592592592595,,,,13.518518518518519,100.0,0.0,01103
LU0000306,Sandweiler,7432,1376,4956,1100,14.80086114101184,22.1953188054883,27.764326069410817,46.90527448869752,51.1302475780409,,,,16.657696447793327,99.75780409041981,0.24219590958019377,00306
LU0000505,Weiswampach,4450,636,3130,684,15.370786516853933,21.85303514376997,20.319488817891372,44.80898876404494,48.764044943820224,,,,28.539325842696627,100.0,0.0,00505
LU0000605,Ettelbruck,18706,2772,12782,3152,16.850208489254783,24.659677671725863,21.686746987951807,47.642467657436114,48.97893723938843,,,,22.88035924302363,95.63776328450764,4.319469688869882,00605
LU0000106,Koerich,5298,910,3624,764,14.420536051340127,21.08167770419426,25.11037527593819,33.37108342770857,35.52283880709702,,,,14.798036995092486,100.0,0.0,00106
LU0000504,Troisvierges,6926,1172,4760,994,14.3517181634421,20.88235294117647,24.6218487394958,45.480796996823564,47.126768697660985,,,,20.12705746462605,98.81605544325728,1.1839445567427087,00504
